year,rank,rider,time,team,margin,winning_time_parts,finishing_time_parts,country
1903,1,maurice garin,"94h 33' 14""",la française,"[0, 0, 0]","[94, 33, 14]","[94, 33, 14]",fra
1903,2,lucien pothier,"+ 2h 59' 21""",la française,"[2, 59, 21]","[94, 33, 14]","[96, 92, 35]",fra
1903,3,fernand augereau,"+ 4h 29' 24""",la française,"[4, 29, 24]","[94, 33, 14]","[98, 62, 38]",fra
1903,4,rodolfo muller,"+ 4h 39' 30""",la française,"[4, 39, 30]","[94, 33, 14]","[98, 72, 44]",ita
1903,5,jean fischer,"+ 4h 58' 44""",la française,"[4, 58, 44]","[94, 33, 14]","[98, 91, 58]",fra
1903,6,marcel kerff,"+ 5h 52' 24""",,"[5, 52, 24]","[94, 33, 14]","[99, 85, 38]",bel
1903,7,julien lootens,"+ 8h 31' 08""",brennabor,"[8, 31, 8]","[94, 33, 14]","[102, 64, 22]",bel
1903,8,georges pasquier,"+ 10h 24' 04""",la française,"[10, 24, 4]","[94, 33, 14]","[104, 57, 18]",fra
1903,9,françois beaugendre,"+ 10h 52' 14""",,"[10, 52, 14]","[94, 33, 14]","[104, 85, 28]",fra
1903,10,aloïs catteau,"+ 12h 44' 57""",la française,"[12, 44, 57]","[94, 33, 14]","[106, 77, 71]",bel
1903,11,jean dargassies,"+ 13h 49' 10""",gladiator,"[13, 49, 10]","[94, 33, 14]","[107, 82, 24]",fra
1903,12,ferdinand payan,"+ 19h 09' 02""",champeyrache,"[19, 9, 2]","[94, 33, 14]","[113, 42, 16]",fra
1903,13,julien girbe,"+ 23h 16' 52""",jc cycles,"[23, 16, 52]","[94, 33, 14]","[117, 49, 66]",fra
1903,14,isidore lechartier,"+ 24h 05' 13""",gladiator,"[24, 5, 13]","[94, 33, 14]","[118, 38, 27]",fra
1903,15,josef fischer,"+ 25h 14' 26""",diamant,"[25, 14, 26]","[94, 33, 14]","[119, 47, 40]",ger
1903,16,alexandre foureaux,"+ 31h 50' 52""",,"[31, 50, 52]","[94, 33, 14]","[125, 83, 66]",fra
1903,17,rené salais,"+ 32h 34' 43""",,"[32, 34, 43]","[94, 33, 14]","[126, 67, 57]",fra
1903,18,emile moulin,"+ 49h 43' 14""",,"[49, 43, 14]","[94, 33, 14]","[143, 76, 28]",fra
1903,19,georges borot,"+ 51h 37' 38""",,"[51, 37, 38]","[94, 33, 14]","[145, 70, 52]",fra
1903,20,pierre desvages,"+ 62h 53' 54""",,"[62, 53, 54]","[94, 33, 14]","[156, 86, 68]",fra
1903,21,arsène millocheau,"+ 64h 57' 08""",,"[64, 57, 8]","[94, 33, 14]","[158, 90, 22]",fra
1904,1,henri cornet,"96h 05' 55""",,"[0, 0, 0]","[96, 5, 55]","[96, 5, 55]",fra
1904,2,jean-baptiste dortignacq,"+ 2h 16' 14""",,"[2, 16, 14]","[96, 5, 55]","[98, 21, 69]",fra
1904,3,aloïs catteau,"+ 9h 01' 25""",,"[9, 1, 25]","[96, 5, 55]","[105, 6, 80]",bel
1904,4,jean dargassies,"+ 13h 04' 30""",,"[13, 4, 30]","[96, 5, 55]","[109, 9, 85]",fra
1904,5,julien maitron,"+ 19h 06' 15""",,"[19, 6, 15]","[96, 5, 55]","[115, 11, 70]",fra
1904,6,auguste daumain,"+ 22h 44' 36""",,"[22, 44, 36]","[96, 5, 55]","[118, 49, 91]",fra
1904,7,louis coolsaet,"+ 23h 44' 20""",,"[23, 44, 20]","[96, 5, 55]","[119, 49, 75]",bel
1904,8,achille colas,"+ 25h 09' 50""",,"[25, 9, 50]","[96, 5, 55]","[121, 14, 105]",fra
1904,9,rené saget,"+ 25h 55' 16""",,"[25, 55, 16]","[96, 5, 55]","[121, 60, 71]",fra
1904,10,gustave drioul,"+ 30h 54' 49""",,"[30, 54, 49]","[96, 5, 55]","[126, 59, 104]",bel
1904,11,henri paret,"+ 32h 18' 39""",,"[32, 18, 39]","[96, 5, 55]","[128, 23, 94]",fra
1904,12,auguste gauthier,"+ 33h 14' 02""",,"[33, 14, 2]","[96, 5, 55]","[129, 19, 57]",fra
1904,13,auguste rist,"+ 35h 01' 20""",,"[35, 1, 20]","[96, 5, 55]","[131, 6, 75]",fra
1904,14,damelincourt,"+ 48h 39' 03""",,"[48, 39, 3]","[96, 5, 55]","[144, 44, 58]",fra
1904,15,antoine deflotriere,"+ 101h 28' 52""",,"[101, 28, 52]","[96, 5, 55]","[197, 33, 107]",fra
1905,1,louis trousselier,,peugeot-wolber,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1905,2,hippolyte aucouturier,,peugeot-wolber,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1905,3,jean-baptiste dortignacq,,saving,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1905,4,emile georget,,jc cycles,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1905,5,lucien petit-breton,,jc cycles,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1905,6,augustin ringeval,,jc cycles,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1905,7,paul chauvet,,griffon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
